Journal,Title,Link,Category,Year
RES,"Do Population Control Policies Induce More Human Capital Investment? Twins, Birth Weight and China's “One-Child” Policy",https://doi.org/10.1111/j.1467-937X.2009.00563.x,Mediation,2009
RES,"Cheap Talk in the Classroom: How Biased Grading at School Explains Gender Differences in Achievements, Career Choices and Wages",https://doi.org/10.1111/j.1467-937X.2009.00551.x,Mediation,2009
RES,Moral Universalism and the Structure of Ideology,https://doi.org/10.1093/restud/rdac066,Mediation,2022
RES,Moral Universalism and the Structure of Ideology,https://doi.org/10.1093/restud/rdac066,Mediation,2022
RES,On Transparency in Organizations,https://doi.org/10.1093/restud/rdu040,Mediation,2014
RES,Ability Peer Effects in University: Evidence from a Randomized Experiment,https://doi.org/10.1093/restud/rdw045,Mediation,2016
RES,Contracting Productivity Growth,https://doi.org/10.1111/1467-937X.00237,Mediation,2003
RES,Household Division and Rural Economic Growth,https://doi.org/10.1111/1467-937X.00228,Mediation,2002
RES,Estimating the Elasticity of Intertemporal Substitution Using Mortgage Notches,https://doi.org/10.1093/restud/rdz025,Mediation,2019
RES,Knowledge Spillovers through Networks of Scientists,https://doi.org/10.1093/restud/rdz033,Mediation,2019
RES,Dissecting the Effect of Credit Supply on Trade: Evidence from Matched Credit-Export Data,https://doi.org/10.1093/restud/rdu028,Mediation,2014
RES,Climate and the Emergence of Global Income Differences,https://doi.org/10.1093/restud/rdw006,Mediation,2016
RES,Self-enforcing Agreements and Forward Induction Reasoning,https://doi.org/10.1093/restud/rdaa051,Mediation,2020
RES,Robust Collusion with Private Information,https://doi.org/10.1093/restud/rdr035,Mediation,2011
RES,Information and Bargaining through Agents: Experimental Evidence from Mexico’s Labour Courts ,https://doi.org/10.1093/restud/rdae003,Mediation,2024
RES,Electoral Turnovers,https://doi.org/10.1093/restud/rdae108,Mediation,2024
RES,How Do Digital Advertising Auctions Impact Product Prices?,https://doi.org/10.1093/restud/rdae087,Mediation,2024
RES,Voluntary Disclosure and Personalized Pricing,https://doi.org/10.1093/restud/rdac033,Mediation,2022
RES,Reputation in Long-Run Relationships,https://doi.org/10.1093/restud/rdr037,Mediation,2011
RES,Stochastic Search Equilibrium,https://doi.org/10.1093/restud/rdt012,Mediation,2013
RES,"Natural Amenities, Neighbourhood Dynamics, and Persistence in the Spatial Distribution of Income",https://doi.org/10.1093/restud/rdx018,Mediation,2017
RES,"War Signals: A Theory of Trade, Trust, and Conflict",https://doi.org/10.1093/restud/rdt003,Mediation,2013
RES,The Darwinian Returns to Scale,https://doi.org/10.1093/restud/rdad061,Mediation,2023
RES,Gang Rule: Understanding and Countering Criminal Governance,https://doi.org/10.1093/restud/rdae079,Mediation,2024
RES,"Trade, Firms, and Wages: Theory and Evidence",https://doi.org/10.1093/restud/rdr016,Mediation,2011
RES,"Imagining the Future: Memory, Simulation, and Beliefs ",https://doi.org/10.1093/restud/rdae070,Mediation,2024
RES,The Aggregate Implications of Mergers and Acquisitions,https://doi.org/10.1093/restud/rdaa077,Mediation,2020
RES,The Effect of Provider Diversity on Racial Health Disparities: Evidence from the Military ,https://doi.org/10.1093/restud/rdaf072,Mediation,2025
RES,External Validity in a Stochastic World: Evidence from Low-Income Countries,https://doi.org/10.1093/restud/rdz021,Mediation,2019
RES,Skill-Biased Structural Change,https://doi.org/10.1093/restud/rdab035,Mediation,2021
RES,Estimating Intergenerational and Assortative Processes in Extended Family Data,https://doi.org/10.1093/restud/rdac060,Mediation,2022
RES,Slum Upgrading and Long-Run Urban Development: Evidence from Indonesia,https://doi.org/10.1093/restud/rdaf090,Mediation,2025
RES,Do Female Officers Improve Law Enforcement Quality? Effects on Crime Reporting and Domestic Violence,https://doi.org/10.1093/restud/rdy051,Mediation,2018
RES,Gender Preferences in Job Vacancies and Workplace Gender Diversity ,https://doi.org/10.1093/restud/rdae085,Mediation,2024
RES,"Gifts of the Immigrants, Woes of the Natives: Lessons from the Age of Mass Migration",https://doi.org/10.1093/restud/rdz027,Mediation,2019
RES,Does Advertising Serve as a Signal? Evidence from a Field Experiment in Mobile Search,https://doi.org/10.1093/restud/rdz053,Mediation,2019
RES,Risk Premium Shocks Can Create Inefficient Recessions,https://doi.org/10.1093/restud/rdab049,Mediation,2021
RES,Estimating Equilibrium in Health Insurance Exchanges: Price Competition and Subsidy Design under the ACA,https://doi.org/10.1093/restud/rdae020,Mediation,2024
RES,The Design of Ambiguous Mechanisms,https://doi.org/10.1093/restud/rdw051,Mediation,2016
RES,The U.K. as a Technological Follower: Higher Education Expansion and the College Wage Premium ,https://doi.org/10.1093/restud/rdab034,Mediation,2021
RES,"Historical Antisemitism, Ethnic Specialization, and Financial Development",https://doi.org/10.1093/restud/rdy021,Mediation,2018
